"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",11411.9418955731,11501.6775594917,11446.4646470942,11142.2232696333,10970.846983557,11151.7885601727,11444.0933006224,11007.5756837456,11661.72475466,10773.5702628958,11002.1840296223,10888.6421586132,9991.64938550339,11171.6097039624,10244.5781116276,10836.2081112352,11498.6188031034,10294.9393735637,11435.4848861096,12353.8781920589,11521.088848413,10888.4533290827,12177.1905125616,12546.1274923684,12080.9711719226,11504.5661133172,11880.6765255147,10074.1769700279,11333.9472385857,11905.9500727216,15995.4833098119,9788.60640609487,8812.27450893073,10082.5474328194,11977.1390744897,12416.984159299,11966.9927548671,14202.1292738034,11616.5946926082,9078.61574782873,9240.89827545804,15038.8163253847,14263.106939874,12241.9232726363,12187.0091909416,9752.78322372333,12592.7542416196,12009.2180988637,8201.24880699853,14199.7977769639,8471.24051895143,9503.55730919961,9876.12701322181,10512.3865186798,11173.8076625134,14593.0182762923,14936.0902553597,15438.9348710201,11737.6927595785,8309.00388403132,11040.6231204161,13353.0510520496,10575.2629895468,11329.6728309517,9695.1524442741,11778.2312416997,14558.9008571861,10722.9969209215,11953.4960942837,12755.3399761982,12211.330900381,7752.34883895544,17336.4367589367,8112.31322873342,7136.06682583289,11645.5471326777,11612.3440285617,11800.4329190534,10777.5845216858,12260.8694424056,12343.3632293129,6958.18027002105,13926.0642080461,13624.3431874722,9043.75119349362,12311.2332277293,11898.7382377735,12993.2134984241,9254.85088315293,13756.596037244,9247.91532662139,9215.99856233075,10795.5073483175,9565.24898433564,17661.9951408349,8131.35167038808,6696.74223153423,8606.17632802827,7020.607182066,13089.9248375079
"2",11571.0248905955,11298.4887319345,11447.6423369848,11263.33387605,11260.6352215707,11404.8689273865,10770.9330854923,11459.8000790638,11243.9063367234,10995.9275399894,11326.9816448058,11580.8233824088,12450.2433888268,10649.6604773867,10903.1552490381,12061.996617275,13299.194366935,11030.0055501528,12180.4379230177,12833.1145140032,11253.8267122409,14242.504373306,10705.0343525313,10072.0604589124,9122.56645626622,12577.6241423739,10354.3558237421,9375.80729862919,10845.5301106172,11565.6747528011,10025.7006936235,9044.86539491791,11580.6907325008,9350.68273662131,11753.4217803804,13611.4816386575,12244.29282126,11343.325040835,14661.3363906913,13766.0913509612,10290.6154079698,13284.9914093157,11561.1517192008,9731.37874167042,11798.9412223817,11432.3000343928,11879.3556092302,14484.8922903116,11673.3187187679,10883.960364273,11833.2512386511,16547.1975162859,11017.5385607699,8599.03732531731,12041.5420138317,13842.0449186612,12661.1556185688,10669.8393586141,14201.5445817658,13359.6887671546,8996.74136499225,16992.51424838,13374.6575399108,14004.744448072,9252.0479702803,8292.33826435597,15003.7186713381,8829.7064461042,10673.3045147358,5898.45936532041,13534.2728863893,21988.2604563394,12460.0781361257,10777.0629896556,10778.1087348859,11770.5451557296,18059.1102620934,12239.8197461783,10077.8912846903,9777.67297243795,8246.40519992079,9206.67737005019,9244.20868558092,12999.2022817676,8939.49109723154,18773.3077056434,13564.0241123564,11912.4722996836,17722.2499485328,8864.82795237856,8958.53262460118,7790.40026710729,11123.8303001667,20888.7844272559,9117.44607178708,13342.8021806305,15193.2311745127,11734.1995569614,6852.60222663743,6770.73714993482
"3",11406.1518236474,11453.888911615,11646.4757455003,11423.8584608512,11830.4932890062,10808.3899367428,11060.7290794499,10548.5078604287,11721.1533335141,9875.03045113235,11006.0395528911,11690.4585721366,13484.7905332858,10933.0457423074,11409.5223319743,9885.53316298415,10795.1440710185,11727.4245741788,12320.8653410657,11910.0134680743,11860.1807803541,11769.8537980522,10267.463165831,10020.6389792427,12052.3043264296,10024.8795797713,10503.4622343195,9782.34803398596,12074.5615540219,13520.2286936859,9232.02538113921,10721.3542527754,10292.5632813962,14286.3668627485,9534.3167474719,10153.5649671492,13878.9987072,10072.5704149828,8641.77846193384,12506.5429626087,12069.8015497797,9884.66871807344,9548.83897210898,12149.5729620677,11526.9008383249,11439.2431758214,12730.6458846903,15944.6666531562,11724.2563752773,12450.7376534734,11179.2121595217,12967.8796935174,12666.520112294,10159.1598722588,9738.2453115713,9389.24761339932,14060.2528147829,13578.7652906651,10295.0342984646,9428.01079938436,11699.749214713,9972.93117758979,7423.79921603297,10573.0461809985,8559.51459797035,12787.4348403658,13822.5592996053,12794.4089754131,8901.03252621333,7609.91230693589,17490.6417855878,13216.632082697,8330.16076298677,11696.4689933308,10128.7462933996,15554.2266558158,12434.1769203437,9591.66413479659,11539.8429012916,10942.0632019817,9382.6838593925,15956.3720225795,6921.63311578868,11143.7687490465,10984.1407764603,7739.92897289856,7342.28306585499,14867.2340850807,11596.976423221,12579.0438699717,13580.2711393361,10098.526453496,8512.24478625609,10771.2338797096,12075.3237433985,5325.69582883352,14255.7727304669,11852.8122648462,9247.45656591112,17193.0021236681
"4",11631.8485779507,11258.7218834043,11801.2632061508,11346.0384274874,11393.7083387659,10966.2059149093,10886.9144037238,11362.0349878241,10280.5185640257,11323.7764451428,11205.0966728067,11762.0417299965,11681.9035326675,10648.0125227681,12617.1515722603,10843.4327655394,12409.5155118822,10746.9270530208,11930.7649209983,12360.8575401003,11960.4166898928,10945.8879246411,11924.4607464569,13418.1685078801,11345.0297258976,12937.7235347172,11991.4524453225,11297.3912209834,14200.5530210899,12136.2558835469,10249.2230100266,12904.0798245784,11062.5077164799,11372.447298909,9420.71486895144,13400.2200856693,12863.533698544,8903.33822740102,12873.9237801981,9108.95887115964,13625.4014652476,11678.5838443692,9763.32518607021,8566.24706882396,11789.6479803294,12996.008178678,10039.4160812894,9560.03036545999,12669.5004481378,9313.69837719978,11897.6501750088,13440.7935020454,11034.0439142624,11927.1298335709,13507.6307061171,10745.6661990564,16787.2807319767,11143.2795671107,13861.8140014033,8854.42851523531,13066.8316322526,8305.33488904018,6242.59220594688,15108.1993157443,9973.34813552546,9336.03219762058,11853.6993716107,7760.67059730891,13834.9664562145,10111.1514204344,14198.1099799275,11614.7954578225,6013.23689203269,10339.9412324226,11762.8799672687,14738.0853262627,22277.9391379299,8201.91127272867,14700.178643076,7082.86652910801,10180.5246201838,16154.0741574471,11589.7106037631,9570.56591472599,12737.2888754432,7848.7055687521,5183.91788324186,11477.600613571,8283.31263815986,18934.932271257,9584.31160842178,17955.5173781703,7542.34435994323,16456.0385047092,7771.86227266061,9975.57701841504,9522.61498164315,9261.30032623897,14911.8406377238,11651.9915418104
"5",11269.1799403141,11435.484305616,11153.1861214115,11456.4347512796,11752.9918567505,11464.103256832,11720.6768381274,10448.0170358637,11943.4840137983,10573.3725128475,11586.976080886,11616.1253933061,10724.5752997022,10840.9231472467,12067.385842626,13808.551557305,10987.7785855724,10231.919603372,10134.8126663573,13365.7774959458,11292.2727533609,10686.276393221,9406.91081849453,13708.4976581685,11041.9824018617,9929.89068091554,12786.9996996363,13789.1138351165,11020.318150779,11801.6855355559,11122.0916138056,9690.66067410794,9560.43750234797,11993.2239844616,15138.0728661136,9965.18598478854,9852.65478255502,13142.0316864276,10915.9635814559,11102.2194783547,9944.89181861725,11680.4489488905,11414.3384429327,8981.444233031,14688.9647264212,10388.0662154672,12728.7100792602,12120.0442038767,11684.7053064905,12374.0953630864,14538.0523019282,8162.77107298954,8608.06303576355,9586.61210425439,7248.78124280701,10655.7251590601,10064.1969066428,10274.528600022,9186.17031219585,13132.2018958207,10616.6969241675,12627.8443568035,11298.1953439029,12365.1404422312,8622.25505017102,16620.2889438077,12053.1935759422,9434.26124136523,14362.0890361411,10866.4302724273,10396.755894108,12532.5110139324,13550.2842022456,21536.9480205057,11881.1073882404,13150.9268899798,13427.589103845,9918.48546196915,7485.60728201013,18304.4597785299,7488.15603046419,14514.5737356414,14222.6372442769,11952.2115182131,11476.4005899462,15005.4575965188,10412.6692155449,13374.9796752862,7616.28329594717,10532.6516817614,7538.3932825809,13878.9362160379,21613.9657543564,13758.1776271357,16398.1743687032,15532.2600249852,10294.8306873782,10092.5432053282,9161.56305394698,13055.748022816
"6",11427.7219916069,11598.0385677931,11132.3825791036,11537.2524876191,11559.3288147253,11535.8639675761,12002.6997091848,10635.3042632211,11567.5115688924,13269.6622245357,11184.2285560456,10810.7960788519,12057.6695833151,11102.8978896723,12280.478333521,12950.9319930004,11549.2459164928,11413.4728244318,12745.3859951537,12772.9095969358,11625.0369458695,10057.6803146597,9923.62237896894,10733.514766117,10961.356010933,10679.4449336096,12813.4774713039,12887.1456911866,11810.5396966322,10847.8233993059,10779.3581255969,11580.9240843076,14310.7996304705,9997.67792109419,8205.19910315058,9070.38288631038,10768.5061508952,12354.0230713237,10751.7485805991,13310.8580812905,12273.6970519189,10706.280351051,10023.6492729105,13476.0347364104,10974.8570485404,10100.3272002958,12470.3368279405,13151.838264445,17098.3618818631,9995.19910473922,7194.60739488444,14608.4836865861,9488.86163762994,9354.56232503272,12635.6351260831,9906.87201067204,11389.7363338837,14499.3835761487,17222.4221454781,8896.78149164797,9887.33140582738,14626.276913449,10230.1508250132,13438.2558892757,13420.5043464606,10270.6847072989,10755.4418118944,15679.4666748275,11026.9618666251,17797.914219442,16814.288797828,14728.1481139195,12950.4977257521,13750.4767237397,8426.12520383002,9511.63033865798,9309.41082712125,15392.7637667513,8962.26295006251,16520.3950703911,14506.3843131335,12720.2909359998,10971.9398025419,13343.4419834325,13480.0618889942,12351.50100073,7976.88759655522,15266.9736196068,8968.70394382558,18668.0649142237,13926.3138600607,14467.8171981748,13472.5798702334,8976.13862329335,17969.9077546283,9518.78343066586,15270.2447072088,14212.4686688736,10586.1301088119,10347.5540821445
"7",11325.4986399679,11367.7741728602,11479.9711521058,11335.0083490899,11016.655406657,11466.1280472629,11748.1706846877,11504.7064128951,12180.2054022915,11998.8251558908,11537.4558899954,11395.0680858695,11781.8283058287,11186.5516779524,11510.5814467772,10128.8991836479,11876.2759323102,12447.4646377802,9962.84574144856,11028.2439613204,9509.7577320961,9701.16134654799,13688.0467922078,13504.4832895824,12001.9575598315,11820.2730577067,12776.0583234854,12587.9290035364,10584.863285529,13627.3027938837,9245.34890287695,10373.2970994383,11102.2227704635,12844.114956887,12554.3674103041,9664.78100651092,12660.9002963174,13866.4841203571,13323.7588389378,12488.0625276579,10707.829190385,10934.152486633,10271.3908955309,14248.7891147079,10606.1410681382,8924.64877030553,13949.8859442761,11842.4252877661,10745.9782316033,10421.4233524786,9721.88572242922,12584.8120350339,11800.973157177,10194.9274877581,13425.5821316544,15569.1718949439,10297.1424630645,9209.67594082069,13648.8036682219,13826.9406120053,15160.1825254538,8352.48930476789,10549.260320254,14942.6958782387,9505.2532447871,9998.55597839889,8804.93136325743,8661.92260184948,10274.6657667205,10255.1382459547,16591.8826576088,13416.1576987581,11636.3912169108,12263.3448351454,17076.0681569789,12259.7326746306,11299.2866280466,9570.69391020137,7621.08266088652,13856.1214804714,13838.0396873397,8179.3191044994,9489.20993367377,12730.0824338649,10522.3651652295,16359.402702792,10416.7360406864,9231.38109784189,12832.8564161025,11916.6311015303,14162.123144155,7013.61320476335,10887.5584499114,9149.06404215234,16541.4553734541,13063.7219806462,14003.48341437,13235.2638369943,8977.21378175534,9451.90489274321
"8",11463.1545674412,10935.7731653138,11705.0972184901,11735.0819826772,10998.2076812895,11439.5808372184,11346.7264096288,12052.1939258113,11887.6176646335,11202.9575953108,10573.0336331982,11026.6818406206,12370.8340224445,10858.5523780599,12397.6486458912,10739.8122448323,10424.2708824999,9907.38107777562,10602.9366508015,12441.3799249075,12260.7567446709,12911.9092808562,13487.614942725,9491.43129592458,13515.1843242778,13170.2104360406,9262.88026357077,11158.091119744,16267.9582126825,13577.1267033865,11249.4229101103,8618.83435238283,9770.20581323629,9854.10425290683,11895.973793933,9698.69097704611,11196.0963213806,11027.1775479483,8408.80170235262,12314.2808184673,16699.8545871757,13242.3233238765,9641.99655902443,9391.15260164811,9828.71390889552,14415.228663253,8795.67710068975,8962.70658634875,12343.8736461902,15296.7997755626,12856.2270706046,8059.12074827581,16926.2825123033,12199.6116868077,9031.77391965698,12997.4843742586,19203.1328317141,9231.3325451441,14473.2200149188,10726.5791251289,8359.46682973096,13614.2378093082,12793.9246758069,16515.2282389743,10472.2318107177,10661.7796271121,12278.7814778488,7793.52399966501,6357.05773378619,11983.1547873082,19303.6046379871,12067.5279336259,6283.14111647147,20219.17547052,9800.77544212646,9626.8118929134,13067.8753307046,24141.0889676333,20268.108351217,9692.50437418086,9358.20555808172,15480.7172391739,9143.80977899857,10684.3803854935,11504.4591882002,19121.8852731947,11542.3424940239,7306.07790900908,14121.1107854087,15216.0214523191,9422.25963423128,11585.4450903298,11424.0120831916,16828.9739118706,10719.660052411,8220.07268525924,7104.98284129948,13345.6264367187,15608.2326318125,14097.3363257365
"9",11576.6206545978,11209.8174908554,11450.2001503202,10981.9535862555,11385.6115163572,11811.2832850335,10866.6533922579,11330.2182626051,11870.2585155719,11443.8084298647,12128.2660141186,11620.8640015673,12031.3692218518,12214.2003336596,9885.44993297065,12202.3198122333,11959.7216384339,11755.4844869709,11856.944318776,9707.85504097384,10682.4203787648,11833.8552154027,9532.46828665393,11880.8058639431,11719.931864983,11673.7048274478,10429.3660164095,11200.7538721634,12429.3282976204,11279.8476884454,10868.8654146761,13322.3355402575,11643.7161952545,8489.46716269449,12543.1399303431,13220.8222027991,8292.62662481654,10172.7024223592,10841.3455162688,14385.5343630449,10010.879935117,8729.15563613427,10597.6742048491,13693.8908850186,14126.988948047,12117.0968984342,10503.650598905,13982.7037156811,11485.1479159907,14985.6998023033,11786.1432798049,13630.9256242234,10828.3648144781,13791.6167033208,16343.2448274932,8422.86918192239,11939.1100975143,11275.2021462981,10253.4617976855,12294.5335840165,7565.28008432933,14526.1808372682,13460.2871951395,5815.89652774335,12030.3236938665,11333.2495530065,10780.7924947791,11073.9213605652,11983.5003887783,10850.1506225663,8769.23528466302,9697.61832562992,10019.749331908,12048.9937045676,13175.889458984,13427.6100294169,13050.5260440532,12418.7666225613,19481.1776072469,7401.41416729972,20346.7575426697,13149.2872615817,18708.7314687146,13851.2748574637,17674.2547503054,6788.86360846062,9595.68668702906,17427.6597161835,14252.4681935898,11320.6397105582,11502.0789235509,17409.3103722155,15754.4370058959,10339.7365270531,21914.01226795,11262.835287186,12796.971103977,7064.3853372543,9507.8939862455,9388.06037279539
"10",11395.4744137434,11332.1318785601,11456.508709265,11752.7025268371,11580.7594632301,10802.3030263333,11340.7991919866,11590.1780322494,11861.2858867596,11951.0995273019,11841.094331472,11347.5375918791,10640.6724736716,11328.6755862128,12813.0615401312,12581.7448569655,10000.901330378,10490.9516611817,12243.5706855669,10794.0360561039,11559.5884811461,11665.0646320615,12930.3005746469,11409.0726601008,11257.3956045321,10896.9324943743,12879.3288982191,9540.72391241502,9042.29329616791,10597.9178829629,13437.8217526954,11851.6443599237,12135.1934281403,12468.3441643799,14426.5938808464,12860.3815045569,11704.9510557845,14290.7209939778,11023.814114883,10698.7294846822,13940.9692555377,9124.08930617458,13139.1048383633,14899.8463515327,12395.7567629416,9652.32824159018,15206.725437719,11186.5034071026,9228.72339611797,14715.5719853556,12490.3390970438,9043.05975830084,8987.79564142211,10896.7210328753,11784.9911632923,12202.8684400543,11849.1376073058,8253.47584590644,8631.06752580647,11207.9011598573,9509.65934843555,14879.3314830858,9869.35692781188,16202.2482495956,12274.4167157312,8415.92566358448,12128.8620412187,15791.581307905,7296.76113819224,11988.4939851595,8695.97839470772,11525.815078991,12785.8249677686,14570.6403501965,9338.66387102149,12942.8013684254,26177.9836827611,15677.304714388,9972.58534168501,11837.604235386,8495.96568491884,8753.35410849276,14305.6833745613,9639.31740083656,7978.52618331529,12311.0681578299,7702.97714510003,13292.0542313015,16021.9239655865,8584.28330045476,13030.0951463821,8944.74380828602,18997.810018212,16957.6739741588,11571.0130666491,8251.20154923713,13725.1089692635,15584.3550068654,7432.4916578625,17605.730575707
